,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
136,137,Brownsville,Texas,"183,392",25.9991,-97.455,"Brownsville, Texas",4,Mexican Restaurant,Seafood Restaurant,Pizza Place,Italian Restaurant,Fast Food Restaurant,Burger Joint,Wings Joint,Breakfast Spot,Steakhouse,Sushi Restaurant,Deli / Bodega,Argentinian Restaurant,Taco Place,American Restaurant,BBQ Joint,Café,Caribbean Restaurant,Mongolian Restaurant,Empanada Restaurant,Eastern European Restaurant,Diner,Food Court,Latin American Restaurant,Comfort Food Restaurant,Asian Restaurant
137,138,Vancouver,Washington,"183,012",45.6349,-122.5957,"Vancouver, Washington",5,Pizza Place,Thai Restaurant,Café,Mexican Restaurant,Vietnamese Restaurant,Food Truck,Sandwich Place,Bakery,French Restaurant,Southern / Soul Food Restaurant,Middle Eastern Restaurant,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Korean Restaurant,Donut Shop,Italian Restaurant,Diner,Sushi Restaurant,New American Restaurant,Taco Place,Tapas Restaurant,Bagel Shop,American Restaurant,BBQ Joint,Asian Restaurant
138,139,Fort Lauderdale,Florida,"182,595",26.1412,-80.1467,"Fort Lauderdale, Florida",3,American Restaurant,Pizza Place,Seafood Restaurant,Mexican Restaurant,Deli / Bodega,Italian Restaurant,Sandwich Place,Steakhouse,Sushi Restaurant,Burger Joint,New American Restaurant,Fast Food Restaurant,Donut Shop,Bakery,Gastropub,Chinese Restaurant,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Peruvian Restaurant,Diner,Mediterranean Restaurant,Latin American Restaurant,Japanese Restaurant,Café,Greek Restaurant
139,140,Sioux Falls,South Dakota,"181,883",43.5383,-96.732,"Sioux Falls, South Dakota",1,American Restaurant,Sandwich Place,Mexican Restaurant,Pizza Place,Fast Food Restaurant,Bakery,Burger Joint,Chinese Restaurant,Steakhouse,Café,New American Restaurant,Bagel Shop,Fried Chicken Joint,Vietnamese Restaurant,Sushi Restaurant,Asian Restaurant,Italian Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Latin American Restaurant,Wings Joint,Seafood Restaurant,Diner,Burrito Place,Brazilian Restaurant
140,141,Ontario,California,"181,107",34.0394,-117.6042,"Ontario, California",1,Pizza Place,Mexican Restaurant,American Restaurant,Breakfast Spot,Burger Joint,Steakhouse,Fast Food Restaurant,Café,Sandwich Place,Bakery,BBQ Joint,Mediterranean Restaurant,Gastropub,Korean Restaurant,Donut Shop,Japanese Restaurant,Italian Restaurant,Deli / Bodega,Hot Dog Joint,Thai Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Sushi Restaurant,Greek Restaurant,Cajun / Creole Restaurant
141,142,Chattanooga,Tennessee,"180,557",35.066,-85.2484,"Chattanooga, Tennessee",1,Mexican Restaurant,Pizza Place,Sandwich Place,Bakery,American Restaurant,Italian Restaurant,Burger Joint,Steakhouse,Seafood Restaurant,Breakfast Spot,Fried Chicken Joint,BBQ Joint,Southern / Soul Food Restaurant,Japanese Restaurant,Deli / Bodega,Chinese Restaurant,Donut Shop,Greek Restaurant,Fast Food Restaurant,Thai Restaurant,New American Restaurant,Mongolian Restaurant,Food Truck,Indian Restaurant,Gastropub
142,143,Providence,Rhode Island,"179,335",41.8231,-71.4188,"Providence, Rhode Island",5,Café,American Restaurant,Bakery,Pizza Place,Italian Restaurant,New American Restaurant,Burger Joint,Breakfast Spot,Asian Restaurant,Sandwich Place,Deli / Bodega,Japanese Restaurant,Sushi Restaurant,Seafood Restaurant,Mexican Restaurant,Donut Shop,Fast Food Restaurant,Hot Dog Joint,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Korean Restaurant,Diner,Mediterranean Restaurant,Food,Spanish Restaurant
143,144,Newport News,Virginia,"178,626",37.0762,-76.522,"Newport News, Virginia",3,American Restaurant,Pizza Place,Seafood Restaurant,Fast Food Restaurant,Sandwich Place,Italian Restaurant,Steakhouse,Donut Shop,BBQ Joint,Bakery,Diner,New American Restaurant,Thai Restaurant,Burger Joint,Breakfast Spot,Vietnamese Restaurant,Mexican Restaurant,Bistro,Comfort Food Restaurant,Bagel Shop,Latin American Restaurant,Korean Restaurant,Japanese Restaurant,Indian Restaurant,Deli / Bodega
144,145,Rancho Cucamonga,California,"177,751",34.1233,-117.5642,"Rancho Cucamonga, California",1,Mexican Restaurant,American Restaurant,Sandwich Place,Burger Joint,Pizza Place,Gastropub,Mediterranean Restaurant,Café,Bakery,Breakfast Spot,Fast Food Restaurant,BBQ Joint,Thai Restaurant,Steakhouse,Sushi Restaurant,Korean Restaurant,Deli / Bodega,Hot Dog Joint,Italian Restaurant,Japanese Restaurant,Caribbean Restaurant,Peruvian Restaurant,Donut Shop,Greek Restaurant,Bistro
145,146,Santa Rosa,California,"177,586",38.4468,-122.7061,"Santa Rosa, California",6,American Restaurant,New American Restaurant,Mexican Restaurant,Thai Restaurant,Bakery,Breakfast Spot,Deli / Bodega,Café,Pizza Place,Burger Joint,BBQ Joint,Italian Restaurant,Japanese Restaurant,Sandwich Place,Seafood Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Diner,Indian Restaurant,Bistro,Hot Dog Joint,Falafel Restaurant,Chinese Restaurant,Salvadoran Restaurant,Gastropub
146,147,Oceanside,California,"176,080",33.2245,-117.3062,"Oceanside, California",0,American Restaurant,Pizza Place,Bakery,Italian Restaurant,Burger Joint,Mexican Restaurant,Breakfast Spot,Seafood Restaurant,Sushi Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega,Gastropub,BBQ Joint,Café,New American Restaurant,Taco Place,Sandwich Place,Vietnamese Restaurant,Thai Restaurant,Caribbean Restaurant,Diner,Chinese Restaurant,Snack Place,Steakhouse
147,148,Salem,Oregon,"173,442",44.9237,-123.0232,"Salem, Oregon",1,Mexican Restaurant,American Restaurant,Pizza Place,Sandwich Place,Café,Burger Joint,Sushi Restaurant,BBQ Joint,Breakfast Spot,Italian Restaurant,Fast Food Restaurant,Japanese Restaurant,Thai Restaurant,Bakery,Chinese Restaurant,Vegetarian / Vegan Restaurant,Steakhouse,Asian Restaurant,New American Restaurant,Seafood Restaurant,Korean Restaurant,Food,Diner,Indian Restaurant,Taco Place
148,149,Elk Grove,California,"172,886",38.4146,-121.385,"Elk Grove, California",1,Mexican Restaurant,American Restaurant,Bakery,Pizza Place,Sandwich Place,Burger Joint,New American Restaurant,Sushi Restaurant,French Restaurant,Steakhouse,Japanese Restaurant,Fast Food Restaurant,Chinese Restaurant,Diner,Café,Thai Restaurant,Korean Restaurant,Italian Restaurant,Vietnamese Restaurant,Breakfast Spot,Wings Joint,Donut Shop,Deli / Bodega,Ethiopian Restaurant,Fried Chicken Joint
149,150,Garden Grove,California,"172,646",33.7788,-117.9605,"Garden Grove, California",3,American Restaurant,Mexican Restaurant,Seafood Restaurant,Italian Restaurant,Pizza Place,Bakery,Burger Joint,Mediterranean Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,Fast Food Restaurant,Steakhouse,Sushi Restaurant,Donut Shop,Deli / Bodega,Korean Restaurant,Cuban Restaurant,New American Restaurant,Salad Place,Japanese Restaurant,Breakfast Spot,German Restaurant,Vietnamese Restaurant,Food Court,Café
150,151,Pembroke Pines,Florida,"172,374",26.021,-80.3404,"Pembroke Pines, Florida",3,Italian Restaurant,American Restaurant,Pizza Place,Mexican Restaurant,Seafood Restaurant,Sandwich Place,Deli / Bodega,Food Truck,Steakhouse,Sushi Restaurant,Café,Fast Food Restaurant,Donut Shop,Bakery,Gastropub,Middle Eastern Restaurant,Argentinian Restaurant,Chinese Restaurant,Vegetarian / Vegan Restaurant,Burger Joint,Japanese Restaurant,New American Restaurant,South American Restaurant,Latin American Restaurant,Mediterranean Restaurant
151,152,Peoria,Arizona,"172,259",33.7862,-112.308,"Peoria, Arizona",1,Pizza Place,Mexican Restaurant,Italian Restaurant,Burger Joint,American Restaurant,Sandwich Place,Sushi Restaurant,Breakfast Spot,Greek Restaurant,Chinese Restaurant,Seafood Restaurant,Mediterranean Restaurant,Café,Asian Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Donut Shop,Latin American Restaurant,Middle Eastern Restaurant,Cajun / Creole Restaurant,Peruvian Restaurant,Diner,Caribbean Restaurant,New American Restaurant,Deli / Bodega
152,153,Eugene,Oregon,"171,245",44.0567,-123.1162,"Eugene, Oregon",5,Pizza Place,Mexican Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Sushi Restaurant,Thai Restaurant,Sandwich Place,Diner,Bakery,American Restaurant,Burger Joint,Café,Chinese Restaurant,Japanese Restaurant,Burrito Place,Italian Restaurant,Wings Joint,BBQ Joint,Fast Food Restaurant,French Restaurant,Greek Restaurant,Hawaiian Restaurant,Vietnamese Restaurant,Donut Shop,Bagel Shop
153,154,Corona,California,"168,819",33.862,-117.5655,"Corona, California",1,Pizza Place,Mexican Restaurant,American Restaurant,Burger Joint,Steakhouse,Sandwich Place,Italian Restaurant,Bakery,Fast Food Restaurant,Vegetarian / Vegan Restaurant,BBQ Joint,Korean Restaurant,Gastropub,Asian Restaurant,Deli / Bodega,Café,Hot Dog Joint,Mediterranean Restaurant,Caribbean Restaurant,Cajun / Creole Restaurant,Greek Restaurant,Salad Place,Chinese Restaurant,Cuban Restaurant,Poke Place
154,155,Cary,North Carolina,"168,160",35.7809,-78.8133,"Cary, North Carolina",1,Mexican Restaurant,Pizza Place,American Restaurant,Mediterranean Restaurant,Bakery,Sushi Restaurant,Café,Burger Joint,Southern / Soul Food Restaurant,Asian Restaurant,Italian Restaurant,Indian Restaurant,Steakhouse,Fast Food Restaurant,BBQ Joint,Breakfast Spot,Donut Shop,Sandwich Place,Seafood Restaurant,Greek Restaurant,Chinese Restaurant,Peruvian Restaurant,Salad Place,Deli / Bodega,New American Restaurant
155,156,Springfield,Missouri,"168,122",37.1942,-93.2913,"Springfield, Missouri",1,Mexican Restaurant,Chinese Restaurant,American Restaurant,Italian Restaurant,Pizza Place,Japanese Restaurant,Café,BBQ Joint,Steakhouse,Bakery,Sandwich Place,Breakfast Spot,Fast Food Restaurant,Deli / Bodega,Burger Joint,Donut Shop,Sushi Restaurant,Korean Restaurant,Wings Joint,Asian Restaurant,New American Restaurant,Peruvian Restaurant,Food Truck,Fried Chicken Joint,English Restaurant
156,157,Fort Collins,Colorado,"167,830",40.5482,-105.0648,"Fort Collins, Colorado",1,Mexican Restaurant,American Restaurant,Pizza Place,Sandwich Place,Breakfast Spot,New American Restaurant,Burger Joint,Vietnamese Restaurant,Chinese Restaurant,Café,Bagel Shop,Steakhouse,Mediterranean Restaurant,Donut Shop,Deli / Bodega,Fried Chicken Joint,Sushi Restaurant,Noodle House,Thai Restaurant,Asian Restaurant,Cajun / Creole Restaurant,Greek Restaurant,Food Truck,Vegetarian / Vegan Restaurant,Italian Restaurant
157,158,Jackson,Mississippi,"164,422",32.3158,-90.2128,"Jackson, Mississippi",2,American Restaurant,Pizza Place,Sandwich Place,Seafood Restaurant,Southern / Soul Food Restaurant,Japanese Restaurant,Burger Joint,Greek Restaurant,Steakhouse,Fast Food Restaurant,Café,Italian Restaurant,Sushi Restaurant,Deli / Bodega,Mediterranean Restaurant,Chinese Restaurant,New American Restaurant,Asian Restaurant,BBQ Joint,French Restaurant,Thai Restaurant,Donut Shop,Mexican Restaurant,Indian Restaurant,Comfort Food Restaurant
158,159,Alexandria,Virginia,"160,530",38.8201,-77.0841,"Alexandria, Virginia",3,American Restaurant,Pizza Place,Italian Restaurant,Taco Place,Mediterranean Restaurant,Thai Restaurant,Seafood Restaurant,New American Restaurant,French Restaurant,Indian Restaurant,Food Truck,Sandwich Place,BBQ Joint,Donut Shop,Burger Joint,Asian Restaurant,Spanish Restaurant,Sushi Restaurant,Chinese Restaurant,Salad Place,Ramen Restaurant,Café,Bakery,Middle Eastern Restaurant,Deli / Bodega
159,160,Hayward,California,"159,620",37.6287,-122.1024,"Hayward, California",5,Pizza Place,Café,Bakery,American Restaurant,Mexican Restaurant,Breakfast Spot,Italian Restaurant,Vietnamese Restaurant,Burger Joint,Seafood Restaurant,Food Truck,Latin American Restaurant,Thai Restaurant,Mediterranean Restaurant,New American Restaurant,Japanese Restaurant,Indian Restaurant,Greek Restaurant,Sandwich Place,Deli / Bodega,Fast Food Restaurant,Burrito Place,Russian Restaurant,Burmese Restaurant,Ethiopian Restaurant
160,161,Lancaster,California,"159,053",34.6936,-118.1753,"Lancaster, California",1,Mexican Restaurant,Fast Food Restaurant,American Restaurant,Burger Joint,Pizza Place,Sushi Restaurant,Sandwich Place,Café,Steakhouse,Italian Restaurant,Seafood Restaurant,Bakery,Diner,Chinese Restaurant,Breakfast Spot,Wings Joint,Fried Chicken Joint,Thai Restaurant,French Restaurant,Cajun / Creole Restaurant,Donut Shop,Donburi Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega,Mediterranean Restaurant
161,162,Lakewood,Colorado,"156,798",39.6989,-105.1176,"Lakewood, Colorado",6,American Restaurant,Mexican Restaurant,Pizza Place,Italian Restaurant,Sandwich Place,Breakfast Spot,New American Restaurant,Burger Joint,Sushi Restaurant,Seafood Restaurant,Vietnamese Restaurant,Steakhouse,Taco Place,Wings Joint,Cajun / Creole Restaurant,Mediterranean Restaurant,Diner,Food Court,Japanese Restaurant,French Restaurant,Polish Restaurant,Indian Restaurant,Comfort Food Restaurant,Hot Dog Joint,Chinese Restaurant
162,163,Clarksville,Tennessee,"156,794",36.5664,-87.3452,"Clarksville, Tennessee",1,Fast Food Restaurant,Mexican Restaurant,Japanese Restaurant,American Restaurant,Sandwich Place,Burger Joint,Pizza Place,Donut Shop,Breakfast Spot,Steakhouse,Korean Restaurant,Fried Chicken Joint,Italian Restaurant,Bakery,Greek Restaurant,Seafood Restaurant,Café,Southern / Soul Food Restaurant,Indian Restaurant,Chinese Restaurant,Asian Restaurant,Vietnamese Restaurant,BBQ Joint,Empanada Restaurant,Fondue Restaurant
163,164,Palmdale,California,"156,667",34.591,-118.1054,"Palmdale, California",1,Mexican Restaurant,American Restaurant,Pizza Place,Burger Joint,Café,Sushi Restaurant,Bakery,Sandwich Place,Fast Food Restaurant,Steakhouse,Breakfast Spot,French Restaurant,Japanese Restaurant,Italian Restaurant,Wings Joint,Chinese Restaurant,Thai Restaurant,Seafood Restaurant,Cajun / Creole Restaurant,Caribbean Restaurant,Food Court,Fish & Chips Shop,Deli / Bodega,Diner,Donburi Restaurant
164,165,Salinas,California,"156,259",36.6902,-121.6337,"Salinas, California",3,Mexican Restaurant,Seafood Restaurant,Bakery,Italian Restaurant,Breakfast Spot,Sandwich Place,New American Restaurant,American Restaurant,French Restaurant,Mediterranean Restaurant,Sushi Restaurant,Pizza Place,Japanese Restaurant,Thai Restaurant,Burger Joint,Vietnamese Restaurant,Café,BBQ Joint,Chinese Restaurant,Deli / Bodega,Diner,Wings Joint,Korean Restaurant,Vegetarian / Vegan Restaurant,Taco Place
165,166,Springfield,Massachusetts,"155,032",42.1155,-72.54,"Springfield, Massachusetts",0,American Restaurant,Pizza Place,Bakery,Burger Joint,Breakfast Spot,Italian Restaurant,Sandwich Place,Asian Restaurant,Deli / Bodega,Donut Shop,Seafood Restaurant,Wings Joint,Steakhouse,Mexican Restaurant,Latin American Restaurant,Gastropub,Greek Restaurant,Fast Food Restaurant,Halal Restaurant,BBQ Joint,Noodle House,German Restaurant,Sushi Restaurant,Bagel Shop,Diner
166,167,Hollywood,Florida,"154,823",26.031,-80.1646,"Hollywood, Florida",3,Italian Restaurant,American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,Seafood Restaurant,Sushi Restaurant,Café,Donut Shop,Steakhouse,Deli / Bodega,Fast Food Restaurant,Burger Joint,New American Restaurant,Greek Restaurant,Latin American Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Peruvian Restaurant,Chinese Restaurant,South American Restaurant,Gastropub,Bakery,Vegetarian / Vegan Restaurant,Food Truck
167,168,Pasadena,Texas,"153,219",29.6586,-95.1506,"Pasadena, Texas",1,Mexican Restaurant,Pizza Place,BBQ Joint,American Restaurant,Café,Vietnamese Restaurant,Italian Restaurant,Steakhouse,Food Truck,Fast Food Restaurant,Sandwich Place,Burger Joint,Cajun / Creole Restaurant,Taco Place,Seafood Restaurant,Breakfast Spot,Greek Restaurant,Thai Restaurant,Deli / Bodega,Diner,Gastropub,Ramen Restaurant,Salad Place,Chinese Restaurant,Noodle House
168,169,Sunnyvale,California,"153,185",37.3858,-122.0263,"Sunnyvale, California",5,Sandwich Place,Pizza Place,American Restaurant,Café,Burger Joint,Mexican Restaurant,Seafood Restaurant,Japanese Restaurant,Israeli Restaurant,Korean Restaurant,Greek Restaurant,Breakfast Spot,Cajun / Creole Restaurant,Italian Restaurant,Caribbean Restaurant,Vietnamese Restaurant,Chinese Restaurant,Mediterranean Restaurant,Donut Shop,Middle Eastern Restaurant,Falafel Restaurant,Vegetarian / Vegan Restaurant,Food Court,Fast Food Restaurant,Mongolian Restaurant
169,170,Macon,Georgia,"153,095",32.8088,-83.6942,"Macon, Georgia",1,Sandwich Place,Mexican Restaurant,American Restaurant,Fast Food Restaurant,BBQ Joint,Pizza Place,Italian Restaurant,Hot Dog Joint,Greek Restaurant,Donut Shop,Steakhouse,Japanese Restaurant,Breakfast Spot,Bakery,Fried Chicken Joint,Burger Joint,Seafood Restaurant,Asian Restaurant,Southern / Soul Food Restaurant,Korean Restaurant,Buffet,Thai Restaurant,Gastropub,Taco Place,Cajun / Creole Restaurant
170,171,Kansas City,Kansas,"152,958",39.1225,-94.7418,"Kansas City, Kansas",6,American Restaurant,Pizza Place,Italian Restaurant,Mexican Restaurant,BBQ Joint,Sandwich Place,Steakhouse,Breakfast Spot,Seafood Restaurant,Gastropub,Sushi Restaurant,Bakery,Cajun / Creole Restaurant,Tapas Restaurant,French Restaurant,New American Restaurant,Burger Joint,Ethiopian Restaurant,Scandinavian Restaurant,Salvadoran Restaurant,Deli / Bodega,Chinese Restaurant,Café,Burrito Place,Comfort Food Restaurant
171,172,Pomona,California,"152,361",34.0585,-117.7611,"Pomona, California",5,Pizza Place,Mexican Restaurant,Sandwich Place,Café,Bakery,American Restaurant,Steakhouse,Korean Restaurant,Fast Food Restaurant,Burger Joint,Asian Restaurant,BBQ Joint,Breakfast Spot,Japanese Restaurant,Mediterranean Restaurant,Seafood Restaurant,Sushi Restaurant,Taco Place,Hot Dog Joint,Italian Restaurant,Caribbean Restaurant,Chinese Restaurant,Vegetarian / Vegan Restaurant,Food Court,Dumpling Restaurant
172,173,Escondido,California,"152,213",33.1331,-117.074,"Escondido, California",3,Pizza Place,Seafood Restaurant,American Restaurant,Sandwich Place,Breakfast Spot,Burger Joint,Bakery,Sushi Restaurant,Mexican Restaurant,Italian Restaurant,Taco Place,Gastropub,Mediterranean Restaurant,Japanese Restaurant,Deli / Bodega,Steakhouse,New American Restaurant,BBQ Joint,Thai Restaurant,Bistro,Noodle House,Dumpling Restaurant,Vegetarian / Vegan Restaurant,Poke Place,Fried Chicken Joint
173,174,Killeen,Texas,"149,103",31.0777,-97.732,"Killeen, Texas",1,Burger Joint,Fast Food Restaurant,Mexican Restaurant,Sandwich Place,Deli / Bodega,Italian Restaurant,Wings Joint,Pizza Place,American Restaurant,Steakhouse,German Restaurant,Thai Restaurant,Fried Chicken Joint,Chinese Restaurant,Café,BBQ Joint,Diner,Donut Shop,Cajun / Creole Restaurant,Food Court,Burrito Place,Sushi Restaurant,Korean Restaurant,Breakfast Spot,Japanese Restaurant
174,175,Naperville,Illinois,"148,304",41.7492,-88.162,"Naperville, Illinois",6,Hot Dog Joint,Mexican Restaurant,American Restaurant,Pizza Place,Deli / Bodega,Breakfast Spot,Japanese Restaurant,Sandwich Place,Seafood Restaurant,New American Restaurant,BBQ Joint,Burger Joint,Café,Donut Shop,Taco Place,Steakhouse,Asian Restaurant,Bakery,Diner,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Greek Restaurant,Cajun / Creole Restaurant,German Restaurant
175,176,Joliet,Illinois,"148,099",41.5177,-88.1488,"Joliet, Illinois",6,American Restaurant,Breakfast Spot,Hot Dog Joint,Mexican Restaurant,Pizza Place,Italian Restaurant,Sandwich Place,Burger Joint,BBQ Joint,Bakery,Seafood Restaurant,Sushi Restaurant,Café,Burrito Place,Tapas Restaurant,Fast Food Restaurant,Middle Eastern Restaurant,Chinese Restaurant,Japanese Restaurant,Gastropub,German Restaurant,Greek Restaurant,Indian Restaurant,Wings Joint,Deli / Bodega
176,177,Bellevue,Washington,"147,599",47.5979,-122.1565,"Bellevue, Washington",5,Pizza Place,Vietnamese Restaurant,Thai Restaurant,Sandwich Place,Italian Restaurant,Café,Dumpling Restaurant,Bakery,Mexican Restaurant,French Restaurant,Steakhouse,Taco Place,Sushi Restaurant,Middle Eastern Restaurant,Poke Place,American Restaurant,Food Truck,Fried Chicken Joint,BBQ Joint,Greek Restaurant,Donut Shop,Japanese Restaurant,Ethiopian Restaurant,Mediterranean Restaurant,Diner
177,178,Rockford,Illinois,"146,526",42.2588,-89.0646,"Rockford, Illinois",1,Pizza Place,Mexican Restaurant,American Restaurant,Italian Restaurant,Café,Breakfast Spot,Sandwich Place,Burger Joint,Fast Food Restaurant,Japanese Restaurant,Asian Restaurant,Bakery,Hot Dog Joint,Gastropub,Chinese Restaurant,Deli / Bodega,Steakhouse,Greek Restaurant,Mediterranean Restaurant,Seafood Restaurant,Diner,Thai Restaurant,Indian Restaurant,BBQ Joint,Sushi Restaurant
178,179,Savannah,Georgia,"145,862",32.0025,-81.1536,"Savannah, Georgia",3,Seafood Restaurant,American Restaurant,Breakfast Spot,Italian Restaurant,Café,Southern / Soul Food Restaurant,Pizza Place,Mexican Restaurant,Asian Restaurant,Diner,Sandwich Place,Burger Joint,Bistro,BBQ Joint,Bakery,Gastropub,Sushi Restaurant,Steakhouse,New American Restaurant,Cajun / Creole Restaurant,Cuban Restaurant,Fondue Restaurant,Persian Restaurant,African Restaurant,Vegetarian / Vegan Restaurant
179,180,Paterson,New Jersey,"145,627",40.9148,-74.1628,"Paterson, New Jersey",5,Bakery,Pizza Place,New American Restaurant,Italian Restaurant,Seafood Restaurant,Mediterranean Restaurant,American Restaurant,Sushi Restaurant,Café,Sandwich Place,French Restaurant,Chinese Restaurant,Thai Restaurant,Korean Restaurant,Salad Place,Deli / Bodega,Greek Restaurant,Taco Place,Portuguese Restaurant,Falafel Restaurant,Ramen Restaurant,Mexican Restaurant,Diner,Comfort Food Restaurant,Japanese Restaurant
180,181,Torrance,California,"145,182",33.835,-118.3414,"Torrance, California",2,Mexican Restaurant,Italian Restaurant,Sushi Restaurant,New American Restaurant,Seafood Restaurant,Café,Korean Restaurant,American Restaurant,Deli / Bodega,Burger Joint,Japanese Restaurant,Sandwich Place,Bakery,Thai Restaurant,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,German Restaurant,Australian Restaurant,French Restaurant,Food Truck,Steakhouse,Fried Chicken Joint,Fast Food Restaurant,Pizza Place,Poke Place
181,182,Bridgeport,Connecticut,"144,900",41.1874,-73.1958,"Bridgeport, Connecticut",0,Pizza Place,Deli / Bodega,American Restaurant,Italian Restaurant,Mexican Restaurant,Breakfast Spot,Sandwich Place,Café,BBQ Joint,Brazilian Restaurant,Sushi Restaurant,Seafood Restaurant,Diner,Asian Restaurant,Bakery,Indian Restaurant,French Restaurant,New American Restaurant,Greek Restaurant,Fish & Chips Shop,Latin American Restaurant,Japanese Restaurant,Falafel Restaurant,Donut Shop,Middle Eastern Restaurant
182,183,McAllen,Texas,"143,433",26.2322,-98.2464,"McAllen, Texas",1,Mexican Restaurant,Burger Joint,American Restaurant,Pizza Place,Bakery,Breakfast Spot,BBQ Joint,Steakhouse,Fast Food Restaurant,Café,Deli / Bodega,Sushi Restaurant,Seafood Restaurant,Comfort Food Restaurant,Mediterranean Restaurant,Italian Restaurant,Cajun / Creole Restaurant,Fried Chicken Joint,Snack Place,Wings Joint,Latin American Restaurant,Japanese Restaurant,Diner,Asian Restaurant,Sandwich Place
183,184,Mesquite,Texas,"142,816",32.7629,-96.5888,"Mesquite, Texas",2,Pizza Place,New American Restaurant,Mexican Restaurant,Burger Joint,Seafood Restaurant,Steakhouse,Italian Restaurant,American Restaurant,Fast Food Restaurant,Taco Place,Japanese Restaurant,Fried Chicken Joint,Thai Restaurant,BBQ Joint,Café,Salad Place,Southern / Soul Food Restaurant,Greek Restaurant,Gastropub,Tex-Mex Restaurant,Vegetarian / Vegan Restaurant,Bakery,Donut Shop,Diner,Latin American Restaurant
184,185,Syracuse,New York,"142,749",43.041,-76.1436,"Syracuse, New York",0,Pizza Place,American Restaurant,Italian Restaurant,Diner,Sandwich Place,Mexican Restaurant,Bakery,Café,Breakfast Spot,Gastropub,Steakhouse,New American Restaurant,Burger Joint,Sushi Restaurant,Thai Restaurant,BBQ Joint,Eastern European Restaurant,Deli / Bodega,Fish & Chips Shop,Fast Food Restaurant,Japanese Restaurant,Latin American Restaurant,Middle Eastern Restaurant,Korean Restaurant,Chinese Restaurant
185,186,Midland,Texas,"142,344",32.0246,-102.1135,"Midland, Texas",4,Mexican Restaurant,Burger Joint,Deli / Bodega,Fast Food Restaurant,American Restaurant,Sandwich Place,Steakhouse,Chinese Restaurant,Japanese Restaurant,Bakery,Italian Restaurant,BBQ Joint,Café,Seafood Restaurant,Sushi Restaurant,Pizza Place,Food Truck,Donut Shop,Asian Restaurant,Vegetarian / Vegan Restaurant,Tex-Mex Restaurant,Thai Restaurant,Taco Place,Fish & Chips Shop,Eastern European Restaurant
186,187,Pasadena,California,"141,371",34.1606,-118.1396,"Pasadena, California",5,Sandwich Place,Pizza Place,Italian Restaurant,Sushi Restaurant,Bakery,Taco Place,Café,Korean Restaurant,Asian Restaurant,Japanese Restaurant,Deli / Bodega,American Restaurant,Mexican Restaurant,Mediterranean Restaurant,New American Restaurant,Burger Joint,Fried Chicken Joint,Food Truck,French Restaurant,Breakfast Spot,Noodle House,Salad Place,Falafel Restaurant,Latin American Restaurant,Filipino Restaurant
187,188,Murfreesboro,Tennessee,"141,344",35.8522,-86.416,"Murfreesboro, Tennessee",6,American Restaurant,Pizza Place,Mexican Restaurant,Steakhouse,BBQ Joint,Breakfast Spot,Sushi Restaurant,Italian Restaurant,Fast Food Restaurant,Southern / Soul Food Restaurant,Greek Restaurant,Burger Joint,Burrito Place,Thai Restaurant,Sandwich Place,Japanese Restaurant,Gastropub,Seafood Restaurant,Donut Shop,Asian Restaurant,Chinese Restaurant,Fried Chicken Joint,Café,Deli / Bodega,Cajun / Creole Restaurant
188,189,Miramar,Florida,"140,823",25.977,-80.3358,"Miramar, Florida",3,Italian Restaurant,Pizza Place,Mexican Restaurant,Seafood Restaurant,American Restaurant,Sandwich Place,Café,Deli / Bodega,Steakhouse,Food Truck,Donut Shop,Cuban Restaurant,Bakery,Fast Food Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Argentinian Restaurant,Burger Joint,Vegetarian / Vegan Restaurant,Food,Latin American Restaurant,Mediterranean Restaurant,French Restaurant,New American Restaurant,Peruvian Restaurant
